,number_of_group,type_occasion,start_date,end_date,internal_occasion,device,devicecode,qauntity_package_one,quantity_package_double,>420,r-a
0,1,pack,2019-08-20 23:59:14,2019-08-21 00:00:13,1,125,2804,,,,
0,1,receipt,2019-08-20 23:59:08,2019-08-21 00:01:14,1,125,2804,0,1,,
0,2,pack,2019-08-21 00:05:36,2019-08-21 00:06:18,1,125,2804,,,,
0,2,receipt,2019-08-21 00:05:30,2019-08-21 00:07:08,1,125,2804,0,1,,
0,3,pack,2019-08-21 00:20:36,2019-08-21 00:21:28,1,125,2804,,,,
0,3,pack,2019-08-21 00:22:30,2019-08-21 00:23:18,1,125,2804,,,,
0,3,receipt,2019-08-21 00:20:21,2019-08-21 00:24:11,1,125,2804,0,2,,
0,4,pack,2019-08-21 01:24:22,2019-08-21 01:25:27,1,125,2804,,,,
0,4,receipt,2019-08-21 01:24:09,2019-08-21 01:26:33,1,125,2804,0,1,,
0,5,pack,2019-08-21 01:31:03,2019-08-21 01:31:58,1,125,2804,,,,
0,5,pack,2019-08-21 01:32:55,2019-08-21 01:33:44,1,125,2804,,,,
0,5,receipt,2019-08-21 01:30:57,2019-08-21 01:34:29,1,125,2804,0,2,,
0,6,pack,2019-08-21 01:54:07,2019-08-21 01:54:51,1,125,2804,,,,
0,6,receipt,2019-08-21 01:53:52,2019-08-21 01:55:24,1,125,2804,0,1,,
0,7,pack,2019-08-21 01:56:43,2019-08-21 01:57:39,1,125,2804,,,,
0,7,receipt,2019-08-21 01:56:35,2019-08-21 01:59:32,1,125,2804,0,1,,
0,8,pack,2019-08-21 02:05:22,2019-08-21 02:06:13,1,125,2804,,,,
0,8,receipt,2019-08-21 02:05:09,2019-08-21 02:07:14,1,125,2804,0,1,,
0,9,pack,2019-08-21 02:23:58,2019-08-21 02:24:47,1,125,2804,,,,
0,9,receipt,2019-08-21 02:23:56,2019-08-21 02:25:59,1,125,2804,0,1,,
0,10,pack,2019-08-21 02:26:29,2019-08-21 02:27:09,1,125,2804,,,,
0,10,receipt,2019-08-21 02:26:23,2019-08-21 02:28:02,1,125,2804,0,1,,
0,11,pack,2019-08-21 02:35:52,2019-08-21 02:36:49,1,125,2804,,,,
0,11,receipt,2019-08-21 02:35:44,2019-08-21 02:37:27,1,125,2804,0,1,,
0,12,pack,2019-08-21 02:38:24,2019-08-21 02:39:11,1,125,2804,,,,
0,12,receipt,2019-08-21 02:38:18,2019-08-21 02:39:57,1,125,2804,0,1,,
0,13,pack,2019-08-21 03:12:34,2019-08-21 03:13:30,1,125,2804,,,,
0,13,receipt,2019-08-21 03:12:27,2019-08-21 03:14:22,1,125,2804,0,1,,
0,14,pack,2019-08-21 03:15:24,2019-08-21 03:16:08,1,125,2804,,,,
0,14,pack,2019-08-21 03:16:54,2019-08-21 03:17:41,1,125,2804,,,,
0,14,pack,2019-08-21 03:18:33,2019-08-21 03:20:29,1,125,2804,,,,
0,14,alarm,2019-08-21 03:19:06,None,1,125,2804,,,,
0,14,receipt,2019-08-21 03:15:14,2019-08-21 03:21:21,1,125,2804,3,0,,
0,15,pack,2019-08-21 03:22:13,2019-08-21 03:22:52,1,125,2804,,,,
0,15,receipt,2019-08-21 03:22:07,2019-08-21 03:23:33,1,125,2804,0,1,,
0,16,pack,2019-08-21 03:47:50,2019-08-21 03:48:49,1,125,2804,,,,
0,16,pack,2019-08-21 03:49:44,2019-08-21 03:50:41,1,125,2804,,,,
0,16,pack,2019-08-21 03:51:50,2019-08-21 03:52:51,1,125,2804,,,,
0,16,receipt,2019-08-21 03:47:43,2019-08-21 03:54:12,1,125,2804,0,3,,
0,17,pack,2019-08-21 04:26:56,2019-08-21 04:27:40,1,125,2804,,,,
0,17,receipt,2019-08-21 04:26:50,2019-08-21 04:28:10,1,125,2804,0,1,,
0,18,pack,2019-08-21 04:29:01,2019-08-21 04:29:49,1,125,2804,,,,
0,18,receipt,2019-08-21 04:28:55,2019-08-21 04:30:34,1,125,2804,0,1,,
0,19,pack,2019-08-21 04:32:31,2019-08-21 04:33:21,1,125,2804,,,,
0,19,pack,2019-08-21 04:34:43,2019-08-21 04:35:28,1,125,2804,,,,
0,19,receipt,2019-08-21 04:32:29,2019-08-21 04:37:40,1,125,2804,0,2,,
0,20,pack,2019-08-21 04:44:30,2019-08-21 04:45:18,1,125,2804,,,,
0,20,receipt,2019-08-21 04:44:23,2019-08-21 04:46:45,1,125,2804,0,1,,
0,21,pack,2019-08-21 04:49:28,2019-08-21 04:50:20,1,125,2804,,,,
0,21,receipt,2019-08-21 04:49:11,2019-08-21 04:51:05,1,125,2804,0,1,,
0,22,pack,2019-08-21 05:01:09,2019-08-21 05:01:59,1,125,2804,,,,
0,22,receipt,2019-08-21 05:01:02,2019-08-21 05:02:38,1,125,2804,0,1,,
0,23,pack,2019-08-21 05:10:04,2019-08-21 05:11:09,1,125,2804,,,,
0,23,receipt,2019-08-21 05:09:59,2019-08-21 05:12:14,1,125,2804,0,1,,
0,24,pack,2019-08-21 05:13:14,2019-08-21 05:13:51,1,125,2804,,,,
0,24,receipt,2019-08-21 05:12:57,2019-08-21 05:14:24,1,125,2804,0,1,,
0,25,pack,2019-08-21 05:15:01,2019-08-21 05:15:40,1,125,2804,,,,
0,25,receipt,2019-08-21 05:14:55,2019-08-21 05:16:17,1,125,2804,0,1,,
0,26,pack,2019-08-21 05:17:11,2019-08-21 05:18:21,1,125,2804,,,,
0,26,receipt,2019-08-21 05:17:02,2019-08-21 05:20:01,1,125,2804,1,0,,
0,27,pack,2019-08-21 05:21:03,2019-08-21 05:22:18,1,125,2804,,,,
0,27,receipt,2019-08-21 05:20:53,2019-08-21 05:23:43,1,125,2804,1,0,,
0,28,pack,2019-08-21 05:24:23,2019-08-21 05:25:10,1,125,2804,,,,
0,28,receipt,2019-08-21 05:24:15,2019-08-21 05:25:53,1,125,2804,0,1,,
0,29,pack,2019-08-21 05:27:11,2019-08-21 05:28:01,1,125,2804,,,,
0,29,receipt,2019-08-21 05:26:56,2019-08-21 05:28:45,1,125,2804,0,1,,
0,30,pack,2019-08-21 05:36:35,2019-08-21 05:37:23,1,125,2804,,,,
0,30,receipt,2019-08-21 05:36:29,2019-08-21 05:37:55,1,125,2804,0,1,,
0,31,pack,2019-08-21 05:40:49,2019-08-21 05:42:31,1,125,2804,,,,
0,31,alarm,2019-08-21 05:42:30,None,1,125,2804,,,,
0,31,issue,2019-08-21 05:42:31,None,1,125,2804,,,,
0,31,issue,2019-08-21 05:42:31,None,1,125,2804,,,,
0,31,pack,2019-08-21 05:42:42,2019-08-21 05:44:27,1,125,2804,,,,
0,31,receipt,2019-08-21 05:39:41,2019-08-21 05:45:47,1,125,2804,1,0,,
0,1,pack,2019-08-20 23:59:59,2019-08-21 00:00:33,1,133,28572,,,,
0,1,receipt,2019-08-21 00:01:04,2019-08-21 00:01:08,0,133,28572,0,1,,
0,2,pack,2019-08-21 00:02:09,2019-08-21 00:02:44,1,133,28572,,,,
0,2,receipt,2019-08-21 00:03:14,2019-08-21 00:03:17,0,133,28572,0,1,,
0,3,pack,2019-08-21 00:06:16,2019-08-21 00:07:07,1,133,28572,,,,
0,3,receipt,2019-08-21 00:07:34,2019-08-21 00:07:41,0,133,28572,0,1,,
0,4,pack,2019-08-21 01:08:48,2019-08-21 01:08:58,1,133,28572,,,,
0,4,issue,2019-08-21 01:08:58,None,1,133,28572,,,,
0,4,issue,2019-08-21 01:08:58,None,1,133,28572,,,,
0,4,issue,2019-08-21 01:08:58,None,1,133,28572,,,,
0,4,pack,2019-08-21 01:10:00,2019-08-21 01:10:48,1,133,28572,,,,
0,4,pack,2019-08-21 01:11:40,2019-08-21 01:12:25,1,133,28572,,,,
0,4,receipt,2019-08-21 01:12:56,2019-08-21 01:13:13,0,133,28572,0,2,,
0,5,pack,2019-08-21 01:19:05,2019-08-21 01:19:55,1,133,28572,,,,
0,5,pack,2019-08-21 01:20:48,2019-08-21 01:27:48,1,133,28572,,,,
0,5,receipt,2019-08-21 01:22:10,2019-08-21 01:22:22,1,133,28572,2,0,,
0,5,issue,2019-08-21 01:27:48,None,1,133,28572,,,,
0,5,issue,2019-08-21 01:27:48,None,1,133,28572,,,,
0,5,issue,2019-08-21 01:27:48,None,1,133,28572,,,,
0,6,pack,2019-08-21 02:02:59,2019-08-21 02:04:14,1,133,28572,,,,
0,6,receipt,2019-08-21 02:05:08,2019-08-21 02:05:26,0,133,28572,1,0,,
0,7,pack,2019-08-21 02:08:56,2019-08-21 02:09:33,1,133,28572,,,,
0,7,pack,2019-08-21 02:10:14,2019-08-21 02:10:49,1,133,28572,,,,
0,7,receipt,2019-08-21 02:11:45,2019-08-21 02:12:15,0,133,28572,1,0,,
0,7,receipt,2019-08-21 02:12:25,2019-08-21 02:13:00,0,133,28572,1,0,,
0,8,pack,2019-08-21 02:44:42,2019-08-21 02:45:23,1,133,28572,,,,
0,8,receipt,2019-08-21 02:45:59,2019-08-21 02:46:02,0,133,28572,0,1,,
0,9,pack,2019-08-21 03:15:17,2019-08-21 03:16:02,1,133,28572,,,,
0,9,receipt,2019-08-21 03:16:34,2019-08-21 03:16:37,0,133,28572,0,1,,
0,10,pack,2019-08-21 05:17:15,2019-08-21 05:18:08,1,133,28572,,,,
0,10,receipt,2019-08-21 05:19:22,2019-08-21 05:19:39,0,133,28572,1,0,,
0,10,alarm,2019-08-21 05:20:08,None,0,133,28572,,,,
0,11,pack,2019-08-21 05:24:55,2019-08-21 05:25:33,1,133,28572,,,,
0,11,pack,2019-08-21 05:26:58,2019-08-21 05:27:33,1,133,28572,,,,
0,11,receipt,2019-08-21 05:28:16,2019-08-21 05:28:41,0,133,28572,0,2,,
0,1,pack,2019-08-20 23:59:55,2019-08-21 00:01:05,1,140,28441,,,,
0,1,receipt,2019-08-21 00:02:14,2019-08-21 00:02:30,0,140,28441,0,1,,
0,2,pack,2019-08-21 00:03:06,2019-08-21 00:04:13,1,140,28441,,,,
0,2,receipt,2019-08-21 00:05:26,2019-08-21 00:05:39,0,140,28441,0,1,,
0,3,pack,2019-08-21 00:06:23,2019-08-21 00:07:05,1,140,28441,,,,
0,3,pack,2019-08-21 00:06:23,2019-08-21 00:07:07,1,140,28441,,,,
0,3,alarm,2019-08-21 00:07:04,None,1,140,28441,,,,
0,3,issue,2019-08-21 00:07:05,None,1,140,28441,,,,
0,3,issue,2019-08-21 00:07:05,None,1,140,28441,,,,
0,3,alarm,2019-08-21 00:07:06,None,1,140,28441,,,,
0,3,alarm,2019-08-21 00:07:06,None,1,140,28441,,,,
0,3,alarm,2019-08-21 00:07:06,None,1,140,28441,,,,
0,3,alarm,2019-08-21 00:07:06,None,1,140,28441,,,,
0,3,issue,2019-08-21 00:07:07,None,1,140,28441,,,,
0,3,issue,2019-08-21 00:07:07,None,1,140,28441,,,,
0,3,pack,2019-08-21 00:07:08,2019-08-21 00:08:04,1,140,28441,,,,
0,3,receipt,2019-08-21 00:08:41,2019-08-21 00:09:05,0,140,28441,0,1,,
0,4,pack,2019-08-21 00:09:28,2019-08-21 00:10:48,1,140,28441,,,,
0,4,receipt,2019-08-21 00:11:50,2019-08-21 00:12:12,0,140,28441,0,1,,
0,5,pack,2019-08-21 00:12:42,2019-08-21 00:13:24,1,140,28441,,,,
0,5,alarm,2019-08-21 00:13:23,None,1,140,28441,,,,
0,5,issue,2019-08-21 00:13:24,None,1,140,28441,,,,
0,5,issue,2019-08-21 00:13:24,None,1,140,28441,,,,
0,5,pack,2019-08-21 00:13:30,2019-08-21 00:14:27,1,140,28441,,,,
0,5,receipt,2019-08-21 00:15:36,2019-08-21 00:15:50,0,140,28441,0,1,,
0,6,pack,2019-08-21 00:16:22,2019-08-21 00:17:35,1,140,28441,,,,
0,6,receipt,2019-08-21 00:18:52,2019-08-21 00:19:05,0,140,28441,0,1,,
0,7,pack,2019-08-21 00:19:36,2019-08-21 00:20:44,1,140,28441,,,,
0,7,receipt,2019-08-21 00:21:52,2019-08-21 00:22:06,0,140,28441,0,1,,
0,8,pack,2019-08-21 00:22:51,2019-08-21 00:23:38,1,140,28441,,,,
0,8,pack,2019-08-21 00:22:51,2019-08-21 00:23:39,1,140,28441,,,,
0,8,alarm,2019-08-21 00:23:37,None,1,140,28441,,,,
0,8,issue,2019-08-21 00:23:38,None,1,140,28441,,,,
0,8,issue,2019-08-21 00:23:38,None,1,140,28441,,,,
0,8,alarm,2019-08-21 00:23:38,None,1,140,28441,,,,
0,8,issue,2019-08-21 00:23:39,None,1,140,28441,,,,
0,8,issue,2019-08-21 00:23:39,None,1,140,28441,,,,
0,8,alarm,2019-08-21 00:23:39,None,1,140,28441,,,,
0,8,alarm,2019-08-21 00:23:39,None,1,140,28441,,,,
0,8,alarm,2019-08-21 00:23:39,None,1,140,28441,,,,
0,8,alarm,2019-08-21 00:23:39,None,1,140,28441,,,,
0,8,pack,2019-08-21 00:23:43,2019-08-21 00:24:40,1,140,28441,,,,
0,8,receipt,2019-08-21 00:25:05,2019-08-21 00:26:38,0,140,28441,0,1,,
0,9,pack,2019-08-21 00:27:52,2019-08-21 00:29:08,1,140,28441,,,,
0,9,issue,2019-08-21 00:29:08,None,1,140,28441,,,,
0,9,issue,2019-08-21 00:29:08,None,1,140,28441,,,,
0,9,pack,2019-08-21 00:30:54,2019-08-21 00:31:40,1,140,28441,,,,
0,9,pack,2019-08-21 00:30:54,2019-08-21 00:31:41,1,140,28441,,,,
0,9,alarm,2019-08-21 00:31:38,None,1,140,28441,,,,
0,9,issue,2019-08-21 00:31:40,None,1,140,28441,,,,
0,9,issue,2019-08-21 00:31:40,None,1,140,28441,,,,
0,9,alarm,2019-08-21 00:31:40,None,1,140,28441,,,,
0,9,alarm,2019-08-21 00:31:40,None,1,140,28441,,,,
0,9,alarm,2019-08-21 00:31:41,None,1,140,28441,,,,
0,9,alarm,2019-08-21 00:31:41,None,1,140,28441,,,,
0,9,alarm,2019-08-21 00:31:41,None,1,140,28441,,,,
0,9,pack,2019-08-21 00:31:53,2019-08-21 00:32:49,1,140,28441,,,,
0,9,pack,2019-08-21 00:33:48,2019-08-21 00:34:26,1,140,28441,,,,
0,9,pack,2019-08-21 00:35:02,2019-08-21 00:35:41,1,140,28441,,,,
0,9,receipt,2019-08-21 00:36:16,2019-08-21 00:36:38,0,140,28441,1,0,,
0,9,receipt,2019-08-21 00:36:46,2019-08-21 00:37:06,0,140,28441,1,0,,
0,9,receipt,2019-08-21 00:37:17,2019-08-21 00:37:33,0,140,28441,1,0,,
0,9,receipt,2019-08-21 00:37:41,2019-08-21 00:38:03,0,140,28441,1,0,,
0,10,pack,2019-08-21 00:39:58,2019-08-21 00:40:37,1,140,28441,,,,
0,10,receipt,2019-08-21 00:41:23,2019-08-21 00:41:44,0,140,28441,1,0,,
0,10,alarm,2019-08-21 00:46:07,None,0,140,28441,,,,
0,11,pack,2019-08-21 00:58:08,2019-08-21 00:58:56,1,140,28441,,,,
0,11,pack,2019-08-21 01:00:03,2019-08-21 01:00:50,1,140,28441,,,,
0,11,receipt,2019-08-21 01:01:38,2019-08-21 01:02:07,0,140,28441,1,0,,
0,11,receipt,2019-08-21 01:02:13,2019-08-21 01:02:31,0,140,28441,1,0,,
0,11,alarm,2019-08-21 01:03:18,None,0,140,28441,,,,
0,12,pack,2019-08-21 01:33:01,2019-08-21 01:33:49,1,140,28441,,,,
0,12,receipt,2019-08-21 01:34:28,2019-08-21 01:34:39,0,140,28441,1,0,,
0,12,alarm,2019-08-21 01:35:10,None,0,140,28441,,,,
0,12,alarm,2019-08-21 01:35:41,None,0,140,28441,,,,
0,12,alarm,2019-08-21 01:42:57,None,0,140,28441,,,,
0,13,pack,2019-08-21 01:53:49,2019-08-21 01:54:41,1,140,28441,,,,
0,13,pack,2019-08-21 01:56:05,2019-08-21 01:57:16,1,140,28441,,,,
0,13,receipt,2019-08-21 01:58:30,2019-08-21 01:58:50,0,140,28441,1,0,,
0,13,receipt,2019-08-21 01:58:58,2019-08-21 01:59:19,0,140,28441,1,0,,
0,14,pack,2019-08-21 02:00:08,2019-08-21 02:00:48,1,140,28441,,,,
0,14,receipt,2019-08-21 02:01:37,2019-08-21 02:02:23,0,140,28441,0,1,,
0,15,pack,2019-08-21 02:14:00,2019-08-21 02:15:14,1,140,28441,,,,
0,15,receipt,2019-08-21 02:16:10,2019-08-21 02:16:44,0,140,28441,0,1,,
0,16,pack,2019-08-21 02:17:16,2019-08-21 02:18:26,1,140,28441,,,,
0,16,receipt,2019-08-21 02:19:36,2019-08-21 02:20:01,0,140,28441,0,1,,
