,number_of_group,type_occasion,start_date,end_date,internal_occasion,device,devicecode,qauntity_package_one,quantity_package_double,>420,r-a,task_alarm,mix_task,KPU/KnPU,receipt_without_pack,receipt_without_pack_and_alarm,solved_task
0,1,pack,2019-08-20 23:59:14,2019-08-21 00:00:13,1,125,2804,,,,,,,,,,
1,1,receipt,2019-08-20 23:59:08,2019-08-21 00:01:14,1,125,2804,0,1,,,,,,,,
2,2,pack,2019-08-21 00:05:36,2019-08-21 00:06:18,1,125,2804,,,,,,,,,,
3,2,receipt,2019-08-21 00:05:30,2019-08-21 00:07:08,1,125,2804,0,1,,,,,KPU,,,task_solved
4,3,pack,2019-08-21 00:20:36,2019-08-21 00:21:28,1,125,2804,,,,,,,,,,
5,3,pack,2019-08-21 00:22:30,2019-08-21 00:23:18,1,125,2804,,,,,,,,,,
6,3,receipt,2019-08-21 00:20:21,2019-08-21 00:24:11,1,125,2804,0,2,,,,,KPU,,,task_solved
7,4,pack,2019-08-21 01:24:22,2019-08-21 01:25:27,1,125,2804,,,,,,,,,,
8,4,receipt,2019-08-21 01:24:09,2019-08-21 01:26:33,1,125,2804,0,1,,,,,KPU,,,task_solved
9,5,pack,2019-08-21 01:31:03,2019-08-21 01:31:58,1,125,2804,,,,,,,,,,
10,5,pack,2019-08-21 01:32:55,2019-08-21 01:33:44,1,125,2804,,,,,,,,,,
11,5,receipt,2019-08-21 01:30:57,2019-08-21 01:34:29,1,125,2804,0,2,,,,,KPU,,,task_solved
12,6,pack,2019-08-21 01:54:07,2019-08-21 01:54:51,1,125,2804,,,,,,,,,,
13,6,receipt,2019-08-21 01:53:52,2019-08-21 01:55:24,1,125,2804,0,1,,,,,KPU,,,task_solved
14,7,pack,2019-08-21 01:56:43,2019-08-21 01:57:39,1,125,2804,,,,,,,,,,
15,7,receipt,2019-08-21 01:56:35,2019-08-21 01:59:32,1,125,2804,0,1,,,,,KPU,,,task_solved
16,8,pack,2019-08-21 02:05:22,2019-08-21 02:06:13,1,125,2804,,,,,,,,,,
17,8,receipt,2019-08-21 02:05:09,2019-08-21 02:07:14,1,125,2804,0,1,,,,,KPU,,,task_solved
18,9,pack,2019-08-21 02:23:58,2019-08-21 02:24:47,1,125,2804,,,,,,,,,,
19,9,receipt,2019-08-21 02:23:56,2019-08-21 02:25:59,1,125,2804,0,1,,,,,KPU,,,task_solved
20,10,pack,2019-08-21 02:26:29,2019-08-21 02:27:09,1,125,2804,,,,,,,,,,
21,10,receipt,2019-08-21 02:26:23,2019-08-21 02:28:02,1,125,2804,0,1,,,,,KPU,,,task_solved
22,11,pack,2019-08-21 02:35:52,2019-08-21 02:36:49,1,125,2804,,,,,,,,,,
23,11,receipt,2019-08-21 02:35:44,2019-08-21 02:37:27,1,125,2804,0,1,,,,,KPU,,,task_solved
24,12,pack,2019-08-21 02:38:24,2019-08-21 02:39:11,1,125,2804,,,,,,,,,,
25,12,receipt,2019-08-21 02:38:18,2019-08-21 02:39:57,1,125,2804,0,1,,,,,KPU,,,task_solved
26,13,pack,2019-08-21 03:12:34,2019-08-21 03:13:30,1,125,2804,,,,,,,,,,
27,13,receipt,2019-08-21 03:12:27,2019-08-21 03:14:22,1,125,2804,0,1,,,,,KPU,,,task_solved
28,14,pack,2019-08-21 03:15:24,2019-08-21 03:16:08,1,125,2804,,,,,,,,,,
29,14,pack,2019-08-21 03:16:54,2019-08-21 03:17:41,1,125,2804,,,,,,,,,,
